,Year,Neighborhood,corp_own_rate,own_occ_rate,perc_white,perc_black,perc_aapi,perc_asian,perc_other,perc_two_or_more,perc_u18,perc_o18
1,2004,Allston,0.07,0.29,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
2,2005,Allston,0.07,0.3,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
3,2006,Allston,0.08,0.29,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
4,2007,Allston,0.08,0.31,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
5,2008,Allston,0.09,0.31,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
6,2009,Allston,0.09,0.31,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
7,2010,Allston,0.09,0.3,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
8,2011,Allston,0.1,0.3,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
9,2012,Allston,0.1,0.28,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
10,2013,Allston,0.11,0.27,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
11,2014,Allston,0.12,0.26,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
12,2015,Allston,0.13,0.25,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
13,2016,Allston,0.14,0.24,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
14,2017,Allston,0.16,0.24,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
15,2018,Allston,0.17,0.23,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
16,2019,Allston,0.18,0.23,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
17,2020,Allston,0.22,0.22,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
18,2021,Allston,0.24,0.22,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
19,2022,Allston,0.25,0.23,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
20,2023,Allston,0.28,0.23,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
21,2024,Allston,0.3,0.22,0.51130289,0.05069704,0.25062017,0.00094336,0.01153,0.04713322,0.06823661,0.93176339
442,2025,Allston,0.26761905,0.20704762,0.61425648,0.0371927,0.20763593,0.00092156,0.00925736,0.03865215,0.05358103,0.94641897
443,2026,Allston,0.27865801,0.20193074,0.61670724,0.03508547,0.20899512,0.00091414,0.00924316,0.03859467,0.05203956,0.94796044
444,2027,Allston,0.28969697,0.19681385,0.61915799,0.03297824,0.21035431,0.00090671,0.00922897,0.03853719,0.05049809,0.94950191
445,2028,Allston,0.30073593,0.19169697,0.62160875,0.03087101,0.21171349,0.00089928,0.00921477,0.03847971,0.04895663,0.95104337
446,2029,Allston,0.31177489,0.18658009,0.6240595,0.02876378,0.21307268,0.00089185,0.00920057,0.03842223,0.04741516,0.95258484
447,2030,Allston,0.32281385,0.1814632,0.62651026,0.02665655,0.21443186,0.00088442,0.00918637,0.03836475,0.04587369,0.95412631
448,2031,Allston,0.33385281,0.17634632,0.62896102,0.02454932,0.21579105,0.00087699,0.00917217,0.03830727,0.04433223,0.95566777
449,2032,Allston,0.34489177,0.17122944,0.63141177,0.02244209,0.21715024,0.00086957,0.00915798,0.0382498,0.04279076,0.95720924
450,2033,Allston,0.35593074,0.16611255,0.63386253,0.02033486,0.21850942,0.00086214,0.00914378,0.03819232,0.04124929,0.95875071
451,2034,Allston,0.3669697,0.16099567,0.63631329,0.01822763,0.21986861,0.00085471,0.00912958,0.03813484,0.03970783,0.96029217
452,2035,Allston,0.37800866,0.15587879,0.63876404,0.0161204,0.22122779,0.00084728,0.00911538,0.03807736,0.03816636,0.96183364
453,2036,Allston,0.38904762,0.1507619,0.6412148,0.01401317,0.22258698,0.00083985,0.00910118,0.03801988,0.03662489,0.96337511
454,2037,Allston,0.40008658,0.14564502,0.64366556,0.01190594,0.22394617,0.00083243,0.00908699,0.0379624,0.03508343,0.96491657
455,2038,Allston,0.41112554,0.14052814,0.64611631,0.00979871,0.22530535,0.000825,0.00907279,0.03790493,0.03354196,0.96645804
456,2039,Allston,0.4221645,0.13541126,0.64856707,0.00769148,0.22666454,0.00081757,0.00905859,0.03784745,0.03200049,0.96799951
457,2040,Allston,0.43320346,0.13029437,0.65101783,0.00558425,0.22802373,0.00081014,0.00904439,0.03778997,0.03045903,0.96954097
458,2041,Allston,0.44424242,0.12517749,0.65346858,0.00347702,0.22938291,0.00080271,0.00903019,0.03773249,0.02891756,0.97108244
459,2042,Allston,0.45528139,0.12006061,0.65591934,0.00136979,0.2307421,0.00079528,0.009016,0.03767501,0.02737609,0.97262391
460,2043,Allston,0.46632035,0.11494372,0.6583701,0,0.23210128,0.00078786,0.0090018,0.03761753,0.02583463,0.97416537
461,2044,Allston,0.47735931,0.10982684,0.66082085,0,0.23346047,0.00078043,0.0089876,0.03756005,0.02429316,0.97570684
462,2045,Allston,0.48839827,0.10470996,0.66327161,0,0.23481966,0.000773,0.0089734,0.03750258,0.02275169,0.97724831
463,2046,Allston,0.49943723,0.09959307,0.66572236,0,0.23617884,0.00076557,0.00895921,0.0374451,0.02121023,0.97878977
464,2047,Allston,0.51047619,0.09447619,0.66817312,0,0.23753803,0.00075814,0.00894501,0.03738762,0.01966876,0.98033124
465,2048,Allston,0.52151515,0.08935931,0.67062388,0,0.23889721,0.00075071,0.00893081,0.03733014,0.01812729,0.98187271
466,2049,Allston,0.53255411,0.08424242,0.67307463,0,0.2402564,0.00074329,0.00891661,0.03727266,0.01658583,0.98341417
467,2050,Allston,0.54359307,0.07912554,0.67552539,0,0.24161559,0.00073586,0.00890241,0.03721518,0.01504436,0.98495564
22,2004,Beacon Hill,0.05,0.34,0.80559126,0.02699229,0.06748072,0.00010711,0.00492716,0.03738218,0.07851328,0.92148672
23,2005,Beacon Hill,0.06,0.34,0.80559126,0.02699229,0.06748072,0.00010711,0.00492716,0.03738218,0.07851328,0.92148672
24,2006,Beacon Hill,0.06,0.32,0.80559126,0.02699229,0.06748072,0.00010711,0.00492716,0.03738218,0.07851328,0.92148672
25,2007,Beacon Hill,0.07,0.33,0.80559126,0.02699229,0.06748072,0.00010711,0.00492716,0.03738218,0.07851328,0.92148672
